,country,restaurant_cnt,cuisine,cuisine_cnt
280,France,155288,Seafood,3378.0
281,Germany,115333,Seafood,2861.0
282,Greece,33763,Seafood,5541.0
283,Hungary,7431,Seafood,77.0
284,Ireland,11203,Seafood,540.0
285,Italy,224763,Seafood,42886.0
286,Poland,24698,Seafood,538.0
287,Portugal,32592,Seafood,2401.0
288,Romania,7842,Seafood,326.0
289,Slovakia,4251,Seafood,47.0
290,Spain,157479,Seafood,6376.0
291,Sweden,18555,Seafood,537.0
292,The Netherlands,29792,Seafood,4759.0
293,United Kingdom,171664,Seafood,5727.0
294,Austria,20487,Mediterranean,1171.0
295,Belgium,23711,Mediterranean,1427.0
296,Bulgaria,4469,Mediterranean,664.0
297,Croatia,8375,Mediterranean,3529.0
298,Czech Republic,14844,Mediterranean,384.0
299,Denmark,9485,Mediterranean,248.0
300,Finland,7372,Mediterranean,197.0
301,France,155288,Mediterranean,10897.0
302,Germany,115333,Mediterranean,9543.0
303,Greece,33763,Mediterranean,13886.0
304,Hungary,7431,Mediterranean,271.0
305,Ireland,11203,Mediterranean,290.0
306,Italy,224763,Mediterranean,58650.0
307,Poland,24698,Mediterranean,1087.0
308,Portugal,32592,Mediterranean,6867.0
309,Romania,7842,Mediterranean,709.0
310,Slovakia,4251,Mediterranean,90.0
311,Spain,157479,Mediterranean,54333.0
312,Sweden,18555,Mediterranean,584.0
313,The Netherlands,29792,Mediterranean,1724.0
314,United Kingdom,171664,Mediterranean,6469.0
315,Austria,20487,International,1191.0
316,Belgium,23711,International,579.0
317,Bulgaria,4469,International,576.0
318,Croatia,8375,International,410.0
319,Czech Republic,14844,International,1033.0
320,Denmark,9485,International,261.0
321,Finland,7372,International,323.0
322,France,155288,International,2098.0
323,Germany,115333,International,4670.0
324,Greece,33763,International,1279.0
325,Hungary,7431,International,777.0
326,Ireland,11203,International,496.0
327,Italy,224763,International,3539.0
328,Poland,24698,International,1182.0
329,Portugal,32592,International,1335.0
330,Romania,7842,International,1291.0
331,Slovakia,4251,International,288.0
332,Spain,157479,International,6644.0
333,Sweden,18555,International,661.0
334,The Netherlands,29792,International,3071.0
335,United Kingdom,171664,International,3023.0
336,Austria,20487,Grill,498.0
337,Belgium,23711,Grill,543.0
338,Bulgaria,4469,Grill,257.0
339,Croatia,8375,Grill,694.0
340,Czech Republic,14844,Grill,220.0
341,Denmark,9485,Grill,154.0
342,Finland,7372,Grill,176.0
343,France,155288,Grill,2669.0
344,Germany,115333,Grill,2501.0
345,Greece,33763,Grill,1613.0
346,Hungary,7431,Grill,175.0
347,Ireland,11203,Grill,149.0
348,Italy,224763,Grill,2871.0
349,Poland,24698,Grill,451.0
350,Portugal,32592,Grill,1000.0
351,Romania,7842,Grill,240.0
352,Slovakia,4251,Grill,76.0
353,Spain,157479,Grill,2676.0
354,Sweden,18555,Grill,287.0
355,The Netherlands,29792,Grill,879.0
356,United Kingdom,171664,Grill,3890.0
357,Austria,20487,Deli,266.0
358,Belgium,23711,Deli,242.0
359,Bulgaria,4469,Deli,27.0
360,Croatia,8375,Deli,44.0
361,Czech Republic,14844,Deli,82.0
362,Denmark,9485,Deli,88.0
363,Finland,7372,Deli,85.0
364,France,155288,Deli,1500.0
365,Germany,115333,Deli,1671.0
366,Greece,33763,Deli,240.0
367,Hungary,7431,Deli,24.0
368,Ireland,11203,Deli,213.0
369,Italy,224763,Deli,3799.0
370,Poland,24698,Deli,59.0
371,Portugal,32592,Deli,96.0
372,Romania,7842,Deli,42.0
373,Slovakia,4251,Deli,36.0
374,Spain,157479,Deli,1235.0
375,Sweden,18555,Deli,122.0
376,The Netherlands,29792,Deli,186.0
377,United Kingdom,171664,Deli,1564.0
378,Austria,20487,German,1413.0
379,Belgium,23711,German,34.0
380,Bulgaria,4469,German,12.0
381,Croatia,8375,German,25.0
382,Czech Republic,14844,German,39.0
383,Denmark,9485,German,18.0
384,Finland,7372,German,12.0
385,France,155288,German,61.0
386,Germany,115333,German,32567.0
387,Greece,33763,German,54.0
388,Hungary,7431,German,28.0
389,Ireland,11203,German,5.0
390,Italy,224763,German,920.0
391,Poland,24698,German,57.0
392,Portugal,32592,German,26.0
393,Romania,7842,German,75.0
394,Slovakia,4251,German,5.0
395,Spain,157479,German,580.0
396,Sweden,18555,German,46.0
397,The Netherlands,29792,German,111.0
398,United Kingdom,171664,German,148.0
399,Austria,20487,Soups,258.0
400,Belgium,23711,Soups,174.0
401,Bulgaria,4469,Soups,97.0
